customer_id;customer_name;customer_phone;email;password
1;Arlina;126 777 5011;apresdie0@cbc.ca;erhorw
2;Gabriel;474 186 6093;gwinnett1@amazon.co.uk;asdfsd
3;Hannis;669 836 8753;hjuszczyk2@elegantthemes.com;kasld
4;Saloma;615 378 2289;sbloschke3@seattletimes.com;asdwr
5;Shir;751 605 5444;sschoenrock4@cpanel.net;powen
6;Frasier;209 743 6123;fmilley5@bbb.org;okjfng
7;Chas;969 433 2162;cscotchmer6@aboutads.info;wowrjfn
8;Kit;546 446 3351;kwroath7@flavors.me;wirhnfk
9;Cooper;579 688 0264;cmccard8@theglobeandmail.com;eijferw
10;Melissa;808 533 5586;mfacey9@skype.com;woirjf
11;Augustus;340 995 3366;acongreavea@nature.com;wpkrmfb
12;Sandro;661 114 6286;scharlickb@berkeley.edu;erbnri
13;Chrissy;150 267 6856;choldrenc@macromedia.com;eitjhnf
14;Brnaba;791 621 8619;bcasseld@businesswire.com;titndbw
15;Carmine;514 556 2260;cdourise@mtv.com;Mvjrie
16;Cyrillus;883 214 3789;ckeatf@bigcartel.com;iekjwnr
17;Catha;774 319 9855;cparleyg@sphinn.com;rowjqw
18;Owen;699 936 7731;ocrisallh@umn.edu;riwjknr
19;Gabie;391 801 1204;geydeli@skype.com;ouefkhw
20;Lorelle;918 568 5710;lurionj@histats.com;rkijefn
